,venue,innings,batting_team,bowling_team,batsmen,bowlers,total_run
1394,JSCA International Stadium Complex,2,Sunrisers Hyderabad,Chennai Super Kings,"DA Warner, S Dhawan","MM Sharma, R Ashwin, JW Hastings",64
1395,Wankhede Stadium,2,Delhi Daredevils,Mumbai Indians,"M Vijay, KP Pietersen, KD Karthik","JJ Bumrah, M de Lange, PP Ojha, S Gopal",47
1396,"Punjab Cricket Association Stadium, Mohali",2,Rajasthan Royals,Kings XI Punjab,"AM Rahane, KK Nair, SV Samson","L Balaji, BE Hendricks, R Dhawan, AR Patel",44
1397,M Chinnaswamy Stadium,2,Chennai Super Kings,Royal Challengers Bangalore,"DR Smith, F du Plessis, SK Raina","SB Jakati, R Rampaul, MA Starc",64
1398,Eden Gardens,2,Kolkata Knight Riders,Sunrisers Hyderabad,"RV Uthappa, G Gambhir, MK Pandey","B Kumar, DW Steyn, JO Holder",49
1399,"Punjab Cricket Association Stadium, Mohali",2,Kings XI Punjab,Delhi Daredevils,"V Sehwag, M Vohra, GJ Maxwell, DA Miller","Mohammed Shami, JD Unadkat, JDS Neesham",48
1400,Wankhede Stadium,2,Mumbai Indians,Rajasthan Royals,"LMP Simmons, MEK Hussey, CJ Anderson, KA Pollard, RG Sharma","JP Faulkner, DS Kulkarni, SR Watson, KK Cooper",71
1401,Eden Gardens,2,Kings XI Punjab,Kolkata Knight Riders,"V Sehwag, M Vohra, WP Saha","M Morkel, UT Yadav, SP Narine, Shakib Al Hasan",46
1402,Brabourne Stadium,2,Chennai Super Kings,Mumbai Indians,"DR Smith, F du Plessis","P Kumar, CJ Anderson, JJ Bumrah",60
1403,Wankhede Stadium,2,Chennai Super Kings,Kings XI Punjab,"DR Smith, F du Plessis, SK Raina","MG Johnson, Sandeep Sharma, P Awana",100
1404,M Chinnaswamy Stadium,2,Kolkata Knight Riders,Kings XI Punjab,"RV Uthappa, G Gambhir, MK Pandey","MG Johnson, L Balaji, P Awana",59
1405,Eden Gardens,2,Kolkata Knight Riders,Mumbai Indians,"RV Uthappa, G Gambhir, MK Pandey","SL Malinga, R Vinay Kumar, CJ Anderson, JJ Bumrah",38
1406,"MA Chidambaram Stadium, Chepauk",2,Delhi Daredevils,Chennai Super Kings,"MA Agarwal, CM Gautam, JA Morkel, SS Iyer, KM Jadhav","A Nehra, MM Sharma",40
1407,Maharashtra Cricket Association Stadium,2,Kings XI Punjab,Rajasthan Royals,"V Sehwag, WP Saha, M Vijay, GJ Maxwell","TG Southee, CH Morris, DS Kulkarni, JP Faulkner",51
1408,"MA Chidambaram Stadium, Chepauk",2,Sunrisers Hyderabad,Chennai Super Kings,"DA Warner, S Dhawan, KL Rahul","A Nehra, MM Sharma",46
1409,Eden Gardens,2,Royal Challengers Bangalore,Kolkata Knight Riders,"CH Gayle, V Kohli, KD Karthik","M Morkel, SP Narine, KC Cariappa",41
1410,Feroz Shah Kotla,2,Rajasthan Royals,Delhi Daredevils,"AM Rahane, SV Samson, SPD Smith","JD Unadkat, NM Coulter-Nile, AD Mathews",42
1411,Wankhede Stadium,2,Mumbai Indians,Kings XI Punjab,"RG Sharma, AP Tare, AJ Finch, AT Rayudu, CJ Anderson","Sandeep Sharma, Anureet Singh, MG Johnson",17
1412,M Chinnaswamy Stadium,2,Sunrisers Hyderabad,Royal Challengers Bangalore,"DA Warner, S Dhawan","SA Abbott, HV Patel, VR Aaron, AN Ahmed",65
1413,"Sardar Patel Stadium, Motera",2,Rajasthan Royals,Mumbai Indians,"AM Rahane, SV Samson, SPD Smith","R Vinay Kumar, P Suyal, SL Malinga",42
1414,Eden Gardens,2,Kolkata Knight Riders,Chennai Super Kings,"RV Uthappa, G Gambhir, MK Pandey","MM Sharma, A Nehra",38
1415,Maharashtra Cricket Association Stadium,2,Delhi Daredevils,Kings XI Punjab,"MA Agarwal, SS Iyer, JP Duminy","Sandeep Sharma, Anureet Singh, MG Johnson",47
1416,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,2,Rajasthan Royals,Sunrisers Hyderabad,"AM Rahane, SV Samson","B Kumar, TA Boult, P Kumar",36
1417,Wankhede Stadium,2,Chennai Super Kings,Mumbai Indians,"DR Smith, BB McCullum","P Suyal, SL Malinga, J Suchith, Harbhajan Singh",90
1418,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,2,Sunrisers Hyderabad,Delhi Daredevils,"DA Warner, S Dhawan","NM Coulter-Nile, JP Duminy, DJ Muthuswami, AD Mathews",50
1419,Maharashtra Cricket Association Stadium,2,Kolkata Knight Riders,Kings XI Punjab,"RV Uthappa, G Gambhir, MK Pandey, SA Yadav","Sandeep Sharma, Anureet Singh, MG Johnson",53
1420,"Sardar Patel Stadium, Motera",2,Rajasthan Royals,Chennai Super Kings,"AM Rahane, SR Watson","IC Pandey, A Nehra, MM Sharma",47
1421,M Chinnaswamy Stadium,2,Royal Challengers Bangalore,Mumbai Indians,"CH Gayle, MS Bisla, V Kohli","MJ McClenaghan, SL Malinga, Harbhajan Singh, JJ Bumrah",33
1422,Feroz Shah Kotla,2,Kolkata Knight Riders,Delhi Daredevils,"RV Uthappa, G Gambhir, MK Pandey, SA Yadav","DJ Muthuswami, NM Coulter-Nile, AD Mathews",48
1423,"Sardar Patel Stadium, Motera",2,Kings XI Punjab,Rajasthan Royals,"M Vijay, V Sehwag, SE Marsh","CH Morris, STR Binny, JP Faulkner, PV Tambe",40
1424,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,2,Kolkata Knight Riders,Sunrisers Hyderabad,"RV Uthappa, G Gambhir, MK Pandey, AD Russell","DW Steyn, B Kumar, P Kumar, KV Sharma, MC Henriques",49
1425,M Chinnaswamy Stadium,2,Royal Challengers Bangalore,Chennai Super Kings,"MS Bisla, RR Rossouw, V Kohli, KD Karthik","IC Pandey, A Nehra, MM Sharma",38
1426,Feroz Shah Kotla,2,Mumbai Indians,Delhi Daredevils,"LMP Simmons, PA Patel, UBT Chand","NM Coulter-Nile, DJ Muthuswami, JP Duminy, AD Mathews",48
1427,"Sardar Patel Stadium, Motera",2,Royal Challengers Bangalore,Rajasthan Royals,"CH Gayle, V Kohli, AB de Villiers","CH Morris, DS Kulkarni, SR Watson, JP Faulkner",49
1428,Wankhede Stadium,2,Sunrisers Hyderabad,Mumbai Indians,"S Dhawan, DA Warner","Harbhajan Singh, MJ McClenaghan, SL Malinga",52
1429,"MA Chidambaram Stadium, Chepauk",2,Kings XI Punjab,Chennai Super Kings,"M Vijay, V Sehwag, SE Marsh, GJ Bailey","IC Pandey, A Nehra, MM Sharma",39
1430,Feroz Shah Kotla,2,Royal Challengers Bangalore,Delhi Daredevils,"CH Gayle, V Kohli","NM Coulter-Nile, DJ Muthuswami, Imran Tahir, JP Duminy",50
1431,"Punjab Cricket Association Stadium, Mohali",2,Kings XI Punjab,Sunrisers Hyderabad,"M Vijay, M Vohra, SE Marsh, GJ Bailey","TA Boult, B Kumar, P Kumar",36
1432,Eden Gardens,2,Delhi Daredevils,Kolkata Knight Riders,"MK Tiwary, SS Iyer","UT Yadav, AD Russell, SP Narine",36
1433,"MA Chidambaram Stadium, Chepauk",2,Kolkata Knight Riders,Chennai Super Kings,"RV Uthappa, G Gambhir, MK Pandey, SA Yadav","IC Pandey, A Nehra, MM Sharma, R Ashwin",54
1434,Feroz Shah Kotla,2,Delhi Daredevils,Kings XI Punjab,"MA Agarwal, SS Iyer","Sandeep Sharma, SN Thakur, Anureet Singh",41
1435,Wankhede Stadium,2,Rajasthan Royals,Mumbai Indians,"AM Rahane, SR Watson, SV Samson","MJ McClenaghan, SL Malinga, R Vinay Kumar, J Suchith",55
1436,M Chinnaswamy Stadium,2,Royal Challengers Bangalore,Kolkata Knight Riders,"CH Gayle, V Kohli, AB de Villiers, Mandeep Singh","PJ Cummins, UT Yadav, GB Hogg, PP Chawla",62
1437,"Rajiv Gandhi International Stadium, Uppal",2,Chennai Super Kings,Sunrisers Hyderabad,"DR Smith, BB McCullum, SK Raina, F du Plessis","TA Boult, B Kumar, P Kumar, MC Henriques",54
1438,"Punjab Cricket Association Stadium, Mohali",2,Kings XI Punjab,Mumbai Indians,"M Vijay, V Sehwag, GJ Maxwell, DA Miller","MJ McClenaghan, SL Malinga, R Vinay Kumar, J Suchith",45
1439,Brabourne Stadium,2,Delhi Daredevils,Rajasthan Royals,"MA Agarwal, SS Iyer, JP Duminy, Yuvraj Singh","TG Southee, DS Kulkarni, STR Binny, SR Watson",55
1440,"MA Chidambaram Stadium, Chepauk",2,Royal Challengers Bangalore,Chennai Super Kings,"NJ Maddinson, V Kohli, AB de Villiers, KD Karthik","IC Pandey, A Nehra, MM Sharma",42
1441,Eden Gardens,2,Sunrisers Hyderabad,Kolkata Knight Riders,"DA Warner, NV Ojha, S Dhawan, MC Henriques, EJG Morgan","UT Yadav, AD Russell, J Botha, GB Hogg",33
1442,Wankhede Stadium,2,Mumbai Indians,Delhi Daredevils,"LMP Simmons, HH Pandya, PA Patel, RG Sharma, Harbhajan Singh, AT Rayudu","Z Khan, NM Coulter-Nile, AD Mathews",41
1443,M Chinnaswamy Stadium,2,Kings XI Punjab,Royal Challengers Bangalore,"M Vijay, M Vohra, WP Saha, GJ Maxwell, DA Miller, GJ Bailey","MA Starc, S Aravind, HV Patel",34
1444,Brabourne Stadium,2,Rajasthan Royals,Sunrisers Hyderabad,"AM Rahane, SR Watson, SPD Smith, KK Nair","B Kumar, P Kumar, I Sharma",36
1445,"MA Chidambaram Stadium, Chepauk",2,Mumbai Indians,Chennai Super Kings,"LMP Simmons, PA Patel","R Ashwin, MM Sharma, A Nehra",61
1446,Eden Gardens,2,Kolkata Knight Riders,Kings XI Punjab,"RV Uthappa, G Gambhir, MK Pandey","Sandeep Sharma, BE Hendricks, Anureet Singh, AR Patel",57
1447,Shaheed Veer Narayan Singh International Stadium,2,Delhi Daredevils,Sunrisers Hyderabad,"Q de Kock, SS Iyer, JP Duminy","B Kumar, I Sharma, Parvez Rasool, P Kumar",49
1448,Wankhede Stadium,2,Mumbai Indians,Royal Challengers Bangalore,"PA Patel, LMP Simmons, RG Sharma","MA Starc, S Aravind, D Wiese, HV Patel",45
1449,"MA Chidambaram Stadium, Chepauk",2,Rajasthan Royals,Chennai Super Kings,"AM Rahane, SR Watson, SPD Smith","A Nehra, MM Sharma",40
1450,"Rajiv Gandhi International Stadium, Uppal",2,Kings XI Punjab,Sunrisers Hyderabad,"M Vijay, M Vohra, WP Saha","B Kumar, TA Boult, I Sharma, Bipul Sharma",47
1451,Shaheed Veer Narayan Singh International Stadium,2,Delhi Daredevils,Chennai Super Kings,"Q de Kock, SS Iyer, JP Duminy, Yuvraj Singh","IC Pandey, MM Sharma, R Ashwin",28
1452,"Punjab Cricket Association Stadium, Mohali",2,Royal Challengers Bangalore,Kings XI Punjab,"CH Gayle, V Kohli, AB de Villiers, Mandeep Singh","Sandeep Sharma, BE Hendricks, Anureet Singh, R Dhawan",61
1453,Wankhede Stadium,2,Kolkata Knight Riders,Mumbai Indians,"RV Uthappa, G Gambhir, MK Pandey, YK Pathan","SL Malinga, MJ McClenaghan, R Vinay Kumar, Harbhajan Singh",50
1454,"Rajiv Gandhi International Stadium, Uppal",2,Royal Challengers Bangalore,Sunrisers Hyderabad,"CH Gayle, V Kohli, AB de Villiers, Mandeep Singh, KD Karthik","DW Steyn, B Kumar, MC Henriques, KV Sharma, P Kumar",83
1455,"Punjab Cricket Association Stadium, Mohali",2,Chennai Super Kings,Kings XI Punjab,"MEK Hussey, BB McCullum, F du Plessis, SK Raina","Sandeep Sharma, BE Hendricks, Gurkeerat Singh, R Dhawan",47
1456,Brabourne Stadium,2,Kolkata Knight Riders,Rajasthan Royals,"RV Uthappa, G Gambhir, MK Pandey, YK Pathan","CH Morris, BB Sran, DS Kulkarni",53
1457,M Chinnaswamy Stadium,2,Royal Challengers Bangalore,Delhi Daredevils,"V Kohli, CH Gayle","J Yadav, Z Khan",2
1458,"Rajiv Gandhi International Stadium, Uppal",2,Mumbai Indians,Sunrisers Hyderabad,"LMP Simmons, PA Patel","DW Steyn, B Kumar, P Kumar, MC Henriques",38
1459,Wankhede Stadium,2,Chennai Super Kings,Mumbai Indians,"DR Smith, F du Plessis, MEK Hussey, SK Raina","SL Malinga, MJ McClenaghan, R Vinay Kumar",54
1460,Maharashtra Cricket Association Stadium,2,Rajasthan Royals,Royal Challengers Bangalore,"AM Rahane, SR Watson, SV Samson, SPD Smith","MA Starc, S Aravind, HV Patel",40
1461,JSCA International Stadium Complex,2,Chennai Super Kings,Royal Challengers Bangalore,"DR Smith, MEK Hussey, F du Plessis","MA Starc, S Aravind, HV Patel",34
1462,Eden Gardens,2,Chennai Super Kings,Mumbai Indians,"DR Smith, MEK Hussey, SK Raina","SL Malinga, MJ McClenaghan, R Vinay Kumar",31
1463,Wankhede Stadium,2,Rising Pune Supergiants,Mumbai Indians,"AM Rahane, F du Plessis","MJ McClenaghan, JJ Bumrah",57
1464,Eden Gardens,2,Kolkata Knight Riders,Delhi Daredevils,"RV Uthappa, G Gambhir","NM Coulter-Nile, Z Khan, CH Morris",47
1465,"Punjab Cricket Association IS Bindra Stadium, Mohali",2,Gujarat Lions,Kings XI Punjab,"AJ Finch, BB McCullum, SK Raina","Sandeep Sharma, MG Johnson, MM Sharma, MP Stoinis",57
1466,M Chinnaswamy Stadium,2,Sunrisers Hyderabad,Royal Challengers Bangalore,"DA Warner, S Dhawan, MC Henriques","AF Milne, SR Watson, Parvez Rasool, HV Patel",56
1467,Eden Gardens,2,Mumbai Indians,Kolkata Knight Riders,"RG Sharma, PA Patel, HH Pandya","AD Russell, JW Hastings, GB Hogg",53
1468,Saurashtra Cricket Association Stadium,2,Gujarat Lions,Rising Pune Supergiants,"AJ Finch, BB McCullum","RP Singh, I Sharma, R Ashwin, M Ashwin",62
1469,Feroz Shah Kotla,2,Delhi Daredevils,Kings XI Punjab,"Q de Kock, SS Iyer, SV Samson","Sandeep Sharma, MG Johnson, MM Sharma, AR Patel",28
1470,"Rajiv Gandhi International Stadium, Uppal",2,Kolkata Knight Riders,Sunrisers Hyderabad,"RV Uthappa, G Gambhir","B Kumar, BB Sran, Mustafizur Rahman",36
1471,Wankhede Stadium,2,Gujarat Lions,Mumbai Indians,"AJ Finch, BB McCullum, SK Raina","TG Southee, JJ Bumrah, MJ McClenaghan, KH Pandya",42
1472,"Punjab Cricket Association IS Bindra Stadium, Mohali",2,Kings XI Punjab,Rising Pune Supergiants,"M Vijay, M Vohra","I Sharma, Ankit Sharma, R Ashwin",50
1473,M Chinnaswamy Stadium,2,Delhi Daredevils,Royal Challengers Bangalore,"Q de Kock, SS Iyer, SV Samson, KK Nair","S Aravind, Parvez Rasool, SR Watson",51
1474,"Rajiv Gandhi International Stadium, Uppal",2,Sunrisers Hyderabad,Mumbai Indians,"DA Warner, S Dhawan, MC Henriques","TG Southee, MJ McClenaghan, JJ Bumrah, Harbhajan Singh",33
1475,"Punjab Cricket Association IS Bindra Stadium, Mohali",2,Kolkata Knight Riders,Kings XI Punjab,"RV Uthappa, G Gambhir","Sandeep Sharma, KJ Abbott, MM Sharma, AR Patel",65
1476,Wankhede Stadium,2,Mumbai Indians,Royal Challengers Bangalore,"RG Sharma, PA Patel, AT Rayudu","VR Aaron, KW Richardson, SR Watson",51
1477,Saurashtra Cricket Association Stadium,2,Sunrisers Hyderabad,Gujarat Lions,"DA Warner, S Dhawan","DW Steyn, P Kumar, DJ Bravo, SK Raina",63
1478,Maharashtra Cricket Association Stadium,2,Rising Pune Supergiants,Royal Challengers Bangalore,"AM Rahane, F du Plessis, KP Pietersen, SPD Smith, MS Dhoni","STR Binny, KW Richardson, HV Patel, SR Watson",36
1479,Feroz Shah Kotla,2,Mumbai Indians,Delhi Daredevils,"RG Sharma, PA Patel, AT Rayudu","Z Khan, Mohammed Shami, P Negi, CH Morris",52
1480,"Rajiv Gandhi International Stadium, Uppal",2,Sunrisers Hyderabad,Kings XI Punjab,"DA Warner, S Dhawan","Sandeep Sharma, KJ Abbott, GJ Maxwell, MM Sharma",65
1481,Saurashtra Cricket Association Stadium,2,Gujarat Lions,Royal Challengers Bangalore,"DR Smith, BB McCullum","YS Chahal, KW Richardson, Iqbal Abdulla, SR Watson",72
1482,Maharashtra Cricket Association Stadium,2,Kolkata Knight Riders,Rising Pune Supergiants,"RV Uthappa, SA Yadav, G Gambhir, Shakib Al Hasan","JA Morkel, NLTC Perera, R Ashwin",59
1483,"Punjab Cricket Association IS Bindra Stadium, Mohali",2,Kings XI Punjab,Mumbai Indians,"M Vijay, M Vohra, SE Marsh, GJ Maxwell","TG Southee, MJ McClenaghan, JJ Bumrah",40
1484,"Rajiv Gandhi International Stadium, Uppal",2,Rising Pune Supergiants,Sunrisers Hyderabad,"AM Rahane, SPD Smith, F du Plessis","B Kumar, A Nehra, Mustafizur Rahman",46
1485,Feroz Shah Kotla,2,Delhi Daredevils,Gujarat Lions,"Q de Kock, SV Samson, KK Nair, JP Duminy, RR Pant","P Kumar, DS Kulkarni",22
1486,Wankhede Stadium,2,Mumbai Indians,Kolkata Knight Riders,"RG Sharma, PA Patel, AT Rayudu","JD Unadkat, UT Yadav, Shakib Al Hasan, SP Narine",64
1487,Maharashtra Cricket Association Stadium,2,Gujarat Lions,Rising Pune Supergiants,"DR Smith, BB McCullum","JA Morkel, AB Dinda, NLTC Perera, R Ashwin",72
1488,Feroz Shah Kotla,2,Kolkata Knight Riders,Delhi Daredevils,"RV Uthappa, G Gambhir, PP Chawla, YK Pathan","Z Khan, Mohammed Shami",43
1489,"Rajiv Gandhi International Stadium, Uppal",2,Royal Challengers Bangalore,Sunrisers Hyderabad,"V Kohli, KL Rahul, AB de Villiers","A Nehra, B Kumar, Mustafizur Rahman",45
1490,Saurashtra Cricket Association Stadium,2,Gujarat Lions,Kings XI Punjab,"DR Smith, BB McCullum, SK Raina, KD Karthik","Sandeep Sharma, MM Sharma, MP Stoinis, AR Patel, KC Cariappa",36
1491,Maharashtra Cricket Association Stadium,2,Mumbai Indians,Rising Pune Supergiants,"RG Sharma, PA Patel, AT Rayudu","NLTC Perera, AB Dinda, SM Boland",47
1492,M Chinnaswamy Stadium,2,Kolkata Knight Riders,Royal Challengers Bangalore,"RV Uthappa, G Gambhir, CA Lynn, MK Pandey","STR Binny, S Aravind, SR Watson, YS Chahal, VR Aaron",37
1493,Saurashtra Cricket Association Stadium,2,Delhi Daredevils,Gujarat Lions,"Q de Kock, RR Pant","P Kumar, DS Kulkarni, SK Raina",61
1494,Eden Gardens,2,Kings XI Punjab,Kolkata Knight Riders,"M Vijay, MP Stoinis, M Vohra, GJ Maxwell, WP Saha","AD Russell, M Morkel, UT Yadav",37
1495,Feroz Shah Kotla,2,Rising Pune Supergiants,Delhi Daredevils,"AM Rahane, UT Khawaja","J Yadav, CR Brathwaite, Mohammed Shami",50
1496,"Rajiv Gandhi International Stadium, Uppal",2,Sunrisers Hyderabad,Gujarat Lions,"DA Warner, S Dhawan, KS Williamson, MC Henriques","P Kumar, PJ Sangwan, DS Kulkarni",38
1497,M Chinnaswamy Stadium,2,Royal Challengers Bangalore,Rising Pune Supergiants,"V Kohli, KL Rahul","AB Dinda, RP Singh, NLTC Perera",46
1498,"Punjab Cricket Association IS Bindra Stadium, Mohali",2,Delhi Daredevils,Kings XI Punjab,"Q de Kock, SV Samson","Sandeep Sharma, MM Sharma, KC Cariappa, MP Stoinis, AR Patel",51
1499,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,2,Mumbai Indians,Sunrisers Hyderabad,"RG Sharma, PA Patel, KH Pandya, AT Rayudu, JC Buttler, HH Pandya, KA Pollard","B Kumar, A Nehra, BB Sran",32
1500,Eden Gardens,2,Gujarat Lions,Kolkata Knight Riders,"DR Smith, BB McCullum, SK Raina","AD Russell, M Morkel, Shakib Al Hasan, PP Chawla",46
1501,"Punjab Cricket Association IS Bindra Stadium, Mohali",2,Kings XI Punjab,Royal Challengers Bangalore,"HM Amla, M Vijay, WP Saha","STR Binny, YS Chahal, CJ Jordan, SR Watson",50
1502,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,2,Rising Pune Supergiants,Sunrisers Hyderabad,"AM Rahane, GJ Bailey, UT Khawaja, R Ashwin","B Kumar, A Nehra, BB Sran",25
1503,M Chinnaswamy Stadium,2,Mumbai Indians,Royal Challengers Bangalore,"RG Sharma, PA Patel, AT Rayudu","STR Binny, S Aravind, CJ Jordan, SR Watson",39
1504,"Rajiv Gandhi International Stadium, Uppal",2,Delhi Daredevils,Sunrisers Hyderabad,"Q de Kock, MA Agarwal, KK Nair","B Kumar, A Nehra, BB Sran, Mustafizur Rahman",50
1505,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,2,Kings XI Punjab,Mumbai Indians,"M Vijay, HM Amla, WP Saha","TG Southee, MJ McClenaghan, KH Pandya, JJ Bumrah",32
1506,M Chinnaswamy Stadium,2,Gujarat Lions,Royal Challengers Bangalore,"DR Smith, BB McCullum, RA Jadeja, KD Karthik","STR Binny, S Aravind, YS Chahal, SR Watson",41
1507,Eden Gardens,2,Kolkata Knight Riders,Rising Pune Supergiants,"RV Uthappa, MK Pandey, G Gambhir, YK Pathan","R Ashwin, AB Dinda, M Ashwin, A Zampa",66
1508,"Punjab Cricket Association IS Bindra Stadium, Mohali",2,Sunrisers Hyderabad,Kings XI Punjab,"DA Warner, S Dhawan","Sandeep Sharma, M Vijay, MM Sharma, Anureet Singh, MP Stoinis, GJ Maxwell",55
1509,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,2,Delhi Daredevils,Mumbai Indians,"MA Agarwal, Q de Kock, KK Nair, SV Samson","Harbhajan Singh, R Vinay Kumar, MJ McClenaghan, JJ Bumrah",49
1510,Eden Gardens,2,Royal Challengers Bangalore,Kolkata Knight Riders,"CH Gayle, V Kohli","AD Russell, M Morkel, SP Narine, PP Chawla",63
1511,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,2,Rising Pune Supergiants,Delhi Daredevils,"AM Rahane, UT Khawaja, GJ Bailey","Z Khan, NM Coulter-Nile, CH Morris",44
1512,M Chinnaswamy Stadium,2,Kings XI Punjab,Royal Challengers Bangalore,"M Vijay, HM Amla, WP Saha, DA Miller, Gurkeerat Singh, AR Patel","STR Binny, S Aravind, CJ Jordan, YS Chahal, SR Watson",59
1513,Green Park,2,Gujarat Lions,Kolkata Knight Riders,"DR Smith, SK Raina, BB McCullum, KD Karthik, AJ Finch","AS Rajpoot, SP Narine, M Morkel",55
1514,Shaheed Veer Narayan Singh International Stadium,2,Delhi Daredevils,Sunrisers Hyderabad,"Q de Kock, RR Pant, KK Nair","B Kumar, BB Sran, Mustafizur Rahman",37
1515,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,2,Rising Pune Supergiants,Kings XI Punjab,"AM Rahane, UT Khawaja, GJ Bailey","Sandeep Sharma, MM Sharma, KJ Abbott",44
1516,Green Park,2,Gujarat Lions,Mumbai Indians,"AJ Finch, SK Raina, BB McCullum","R Vinay Kumar, JJ Bumrah, MJ McClenaghan, KH Pandya",70
1517,Eden Gardens,2,Sunrisers Hyderabad,Kolkata Knight Riders,"S Dhawan, DA Warner, NV Ojha","YK Pathan, AS Rajpoot, Shakib Al Hasan, SP Narine",48
1518,Shaheed Veer Narayan Singh International Stadium,2,Royal Challengers Bangalore,Delhi Daredevils,"CH Gayle, V Kohli, AB de Villiers, KL Rahul","Z Khan, CH Morris",49
1519,M Chinnaswamy Stadium,2,Royal Challengers Bangalore,Gujarat Lions,"CH Gayle, V Kohli, AB de Villiers, KL Rahul, SR Watson, Sachin Baby, STR Binny","P Kumar, DS Kulkarni, RA Jadeja",31
1520,Feroz Shah Kotla,2,Kolkata Knight Riders,Sunrisers Hyderabad,"RV Uthappa, G Gambhir, C Munro","B Kumar, BB Sran, DJ Hooda, Mustafizur Rahman",46
1521,Feroz Shah Kotla,2,Sunrisers Hyderabad,Gujarat Lions,"DA Warner, S Dhawan, MC Henriques, Yuvraj Singh","P Kumar, DS Kulkarni, DR Smith, SK Raina",46
1522,M Chinnaswamy Stadium,2,Royal Challengers Bangalore,Sunrisers Hyderabad,"CH Gayle, V Kohli","B Kumar, BB Sran, BCJ Cutting, Mustafizur Rahman",59
1523,"Rajiv Gandhi International Stadium, Uppal",2,Royal Challengers Bangalore,Sunrisers Hyderabad,"CH Gayle, Mandeep Singh, TM Head","A Nehra, B Kumar, BCJ Cutting, Rashid Khan",54
1524,Maharashtra Cricket Association Stadium,2,Rising Pune Supergiant,Mumbai Indians,"AM Rahane, MA Agarwal, SPD Smith","TG Southee, HH Pandya, MJ McClenaghan, JJ Bumrah",59
1525,Saurashtra Cricket Association Stadium,2,Kolkata Knight Riders,Gujarat Lions,"G Gambhir, CA Lynn","P Kumar, DS Kulkarni, MS Gony, S Kaushik",73
1526,Holkar Cricket Stadium,2,Kings XI Punjab,Rising Pune Supergiant,"HM Amla, M Vohra, WP Saha, AR Patel","AB Dinda, DT Christian, BA Stokes, Imran Tahir",56
1527,M.Chinnaswamy Stadium,2,Delhi Daredevils,Royal Challengers Bangalore,"AP Tare, SW Billings, KK Nair, SV Samson","B Stanlake, YS Chahal, Iqbal Abdulla, TS Mills",43
1528,"Rajiv Gandhi International Stadium, Uppal",2,Sunrisers Hyderabad,Gujarat Lions,"DA Warner, S Dhawan, MC Henriques","SK Raina, P Kumar, Tejas Baroka, DS Kulkarni",59
1529,Wankhede Stadium,2,Mumbai Indians,Kolkata Knight Riders,"PA Patel, JC Buttler","TA Boult, CR Woakes, SP Narine, Kuldeep Yadav",49
1530,Holkar Cricket Stadium,2,Kings XI Punjab,Royal Challengers Bangalore,"M Vohra, HM Amla","B Stanlake, Iqbal Abdulla, SR Watson, TS Mills",62
1531,Maharashtra Cricket Association Stadium,2,Rising Pune Supergiant,Delhi Daredevils,"AM Rahane, MA Agarwal, F du Plessis, RA Tripathi","S Nadeem, PJ Cummins, Z Khan, CH Morris",50
1532,Wankhede Stadium,2,Mumbai Indians,Sunrisers Hyderabad,"PA Patel, JC Buttler, RG Sharma, N Rana","B Kumar, A Nehra, Rashid Khan, Mustafizur Rahman",61
1533,Eden Gardens,2,Kolkata Knight Riders,Kings XI Punjab,"SP Narine, G Gambhir, RV Uthappa","Sandeep Sharma, I Sharma, GJ Maxwell, VR Aaron",76
1534,M Chinnaswamy Stadium,2,Mumbai Indians,Royal Challengers Bangalore,"PA Patel, JC Buttler, RG Sharma, MJ McClenaghan, KA Pollard, N Rana","S Badree, STR Binny, S Aravind, TS Mills",21
1535,Saurashtra Cricket Association Stadium,2,Gujarat Lions,Rising Pune Supergiant,"DR Smith, BB McCullum","Ankit Sharma, LH Ferguson, SN Thakur, BA Stokes, Imran Tahir",61
1536,Eden Gardens,2,Sunrisers Hyderabad,Kolkata Knight Riders,"DA Warner, S Dhawan","UT Yadav, TA Boult, SP Narine, Kuldeep Yadav",45
1537,Feroz Shah Kotla,2,Kings XI Punjab,Delhi Daredevils,"M Vohra, HM Amla, WP Saha, EJG Morgan, DA Miller","Z Khan, S Nadeem, CH Morris, PJ Cummins",40
1538,Wankhede Stadium,2,Mumbai Indians,Gujarat Lions,"PA Patel, N Rana, JC Buttler","P Kumar, Basil Thampi, MM Patel, AJ Tye",56
1539,M Chinnaswamy Stadium,2,Royal Challengers Bangalore,Rising Pune Supergiant,"V Kohli, Mandeep Singh, AB de Villiers","JD Unadkat, SN Thakur, DT Christian, BA Stokes",42
